Date,High,Low,Volume
05-02-2019,10.92,10.83,6926300
06-02-2019,10.94,10.85,5478400
07-02-2019,10.93,10.8,7116200
08-02-2019,10.89,10.81,4103300
11-02-2019,10.89,10.79,5929600
12-02-2019,10.86,10.76,6300600
13-02-2019,10.87,10.77,9532300
14-02-2019,10.76,10.62,8443400
15-02-2019,10.78,10.64,9269100
19-02-2019,10.57,10.38,13443300
20-02-2019,10.73,10.62,6693600
21-02-2019,10.62,10.49,6913200
22-02-2019,10.68,10.55,4644600
25-02-2019,10.92,10.78,7781200
26-02-2019,10.76,10.62,6343700
27-02-2019,10.73,10.57,6812900
28-02-2019,10.77,10.65,6815000
01-03-2019,10.87,10.74,8012100
04-03-2019,10.87,10.66,5650900
05-03-2019,10.8,10.65,5576000
06-03-2019,10.75,10.68,6026600
07-03-2019,10.71,10.48,8304200
08-03-2019,10.48,10.36,6145300
11-03-2019,10.57,10.46,5497300
12-03-2019,10.55,10.46,9129600
13-03-2019,10.6,10.48,10809900
14-03-2019,10.61,10.48,5964500
15-03-2019,10.77,10.69,7108200
18-03-2019,10.74,10.68,5828700
19-03-2019,10.91,10.79,7204100
20-03-2019,11.04,10.88,7616300
21-03-2019,11.08,10.94,5108000
22-03-2019,11.12,10.86,8525300
25-03-2019,10.88,10.77,7322400
26-03-2019,10.88,10.77,4427200
27-03-2019,10.83,10.67,5644900
28-03-2019,10.94,10.83,5429900
29-03-2019,11.03,10.92,5862300
01-04-2019,11.16,11.03,5765400
02-04-2019,11.26,11.1,7661600
03-04-2019,11.28,11.16,7516300
04-04-2019,11.15,11,5658700
05-04-2019,11.36,11.15,9160300
08-04-2019,11.38,11.27,4759200
09-04-2019,11.26,11.14,15865500
10-04-2019,11.17,11.04,15151400
11-04-2019,11.07,10.9,19697600
12-04-2019,10.71,10.45,27590500
15-04-2019,10.61,10.5,15949200
16-04-2019,10.57,10.36,21431800
17-04-2019,10.46,10.37,10317700
18-04-2019,10.49,10.34,18307000
22-04-2019,10.47,10.39,7392500
23-04-2019,10.64,10.48,13314800
24-04-2019,10.7,10.56,12134700
25-04-2019,10.57,10.4,7030200
26-04-2019,10.68,10.56,5366900
29-04-2019,10.78,10.66,6956900
30-04-2019,10.88,10.75,8432300
01-05-2019,10.88,10.76,9212300
02-05-2019,10.72,10.47,12516500
03-05-2019,10.56,10.07,30580400
06-05-2019,10.52,10.31,13121800
07-05-2019,10.46,10.29,13262100
08-05-2019,10.43,10.26,11854500
09-05-2019,10.36,10.19,18123600
10-05-2019,10.27,10.11,19016300
13-05-2019,10.18,10.04,13309000
14-05-2019,10.29,10.13,5885600
15-05-2019,10.39,10.19,11611400
16-05-2019,10.56,10.47,8502800
17-05-2019,10.44,10.15,12427600
20-05-2019,10.36,10.15,17155700
21-05-2019,10.21,10.12,13841200
22-05-2019,10.32,10.18,8639200
23-05-2019,10.2,10.01,6115600
24-05-2019,10.35,10.23,10594200
28-05-2019,10.45,10.3,13101000
29-05-2019,10.34,10.23,9885000
30-05-2019,10.6,10.37,9560600
31-05-2019,10.53,10.41,8501000
03-06-2019,10.63,10.41,16517600
04-06-2019,10.6,10.42,8956200
05-06-2019,10.57,10.43,7705300
06-06-2019,10.58,10.46,5068500
07-06-2019,10.68,10.52,4587400
10-06-2019,10.81,10.73,6059100
11-06-2019,10.85,10.72,6582600
12-06-2019,10.9,10.77,7234800
13-06-2019,10.7,10.54,11253600
14-06-2019,10.67,10.57,4910900
17-06-2019,10.65,10.47,5351000
18-06-2019,10.83,10.74,9545700
19-06-2019,10.8,10.59,17172400
20-06-2019,10.8,10.68,14996300
21-06-2019,10.79,10.68,8959000
24-06-2019,10.77,10.65,6824800
25-06-2019,10.7,10.61,8018600
26-06-2019,10.68,10.6,4425400
27-06-2019,10.67,10.52,7636900
28-06-2019,10.71,10.63,6315300
01-07-2019,10.7,10.62,8902200
02-07-2019,10.79,10.72,7007200
03-07-2019,10.77,10.67,6879500
05-07-2019,10.7,10.54,18833300
08-07-2019,10.62,10.55,13564300
09-07-2019,10.55,10.37,23515700
10-07-2019,10.61,10.44,14954300
11-07-2019,10.72,10.53,15798500
12-07-2019,11.56,11.27,41385700
15-07-2019,11.63,11.44,13349700
16-07-2019,11.59,11.49,8621500
17-07-2019,11.64,11.48,9347900
18-07-2019,11.59,11.49,9554000
19-07-2019,11.54,11.38,10326900
22-07-2019,11.52,11.44,6380400
23-07-2019,11.54,11.44,6815600
24-07-2019,11.56,11.45,9101500
25-07-2019,11.55,11.48,7030300
26-07-2019,11.56,11.46,4230100
29-07-2019,11.55,11.47,6082600
30-07-2019,11.49,11.39,5375600
31-07-2019,11.52,11.19,20376600
01-08-2019,11.39,11.2,9424600
02-08-2019,11.21,11.05,10132700
05-08-2019,11.03,10.84,7132500
06-08-2019,11.04,10.91,15365300
07-08-2019,11.16,10.88,14179700
08-08-2019,11.35,11.2,11876300
09-08-2019,11.26,11.08,6107900
12-08-2019,11.13,11.04,4599900
13-08-2019,11.1,10.78,12558600
14-08-2019,10.97,10.79,8238800
15-08-2019,11.05,10.77,14914000
16-08-2019,11.09,10.91,9420600
19-08-2019,11.18,11.06,11201500
20-08-2019,11.39,11.19,13538500
21-08-2019,11.45,11.28,7062900
22-08-2019,11.33,11.19,6352600
23-08-2019,11.32,11.1,8412800
26-08-2019,11.23,11.1,6104400
27-08-2019,11.16,11.08,6968800
28-08-2019,11.26,11.13,5520600
29-08-2019,11.48,11.28,10932700
30-08-2019,11.5,11.37,7067000
03-09-2019,11.41,11.22,9252700
04-09-2019,11.68,11.41,18432500
05-09-2019,12.08,11.76,25060600
06-09-2019,12.04,11.81,10360200
09-09-2019,11.77,11.59,6583300
10-09-2019,11.64,11.49,9401500
11-09-2019,11.66,11.56,9023800
12-09-2019,11.71,11.59,7979500
13-09-2019,11.87,11.71,9378200
16-09-2019,11.76,11.56,8333600
17-09-2019,11.76,11.66,8195500
18-09-2019,11.76,11.58,8528000
19-09-2019,11.68,11.58,8105000
20-09-2019,11.6,11.35,14943600
23-09-2019,11.07,10.81,18658500
24-09-2019,11.26,11.01,14108100
25-09-2019,11.15,11.03,17286800
26-09-2019,11.17,11,9697400
27-09-2019,11.22,11.06,10509800
30-09-2019,11.42,11.31,12125900
01-10-2019,11.25,11.01,10800900
02-10-2019,11.12,10.94,8582600
03-10-2019,11.21,11.06,7168100
04-10-2019,11.26,11.14,7018000
07-10-2019,11.31,11.1,8589300
08-10-2019,11.25,11.11,9263600
09-10-2019,11.24,11.08,8826400
10-10-2019,11.21,10.94,13331900
11-10-2019,11.31,10.96,31213600
14-10-2019,10.95,10.55,36090800
15-10-2019,10.77,10.51,41270700
16-10-2019,10.76,10.56,29060900
17-10-2019,10.73,10.49,37682300
18-10-2019,10.69,10.57,22623800
21-10-2019,9.43,8.93,77165400
22-10-2019,9.08,8.9,48623900
23-10-2019,9.2,8.95,25956700
24-10-2019,8.99,8.76,28788000
25-10-2019,9.25,8.91,23665400
28-10-2019,9.3,9.15,11893500
29-10-2019,9.39,9.16,24147000
30-10-2019,9.44,9.31,14840500
31-10-2019,9.73,9.54,30212200
01-11-2019,9.69,9.5,10537300
04-11-2019,10.09,9.76,21739400
05-11-2019,9.82,9.66,11662500
06-11-2019,9.9,9.82,12466800
07-11-2019,10.12,9.98,12326100
08-11-2019,9.97,9.66,32583800
11-11-2019,9.87,9.7,16820700
12-11-2019,9.76,9.69,9914300
13-11-2019,9.72,9.59,9327100
14-11-2019,9.89,9.76,6339100
15-11-2019,9.92,9.82,9996700
18-11-2019,9.87,9.78,10115400
19-11-2019,9.94,9.81,13020000
20-11-2019,9.98,9.8,8461600
21-11-2019,9.93,9.82,4301600
22-11-2019,9.76,9.58,23598600
25-11-2019,9.88,9.65,16600800
26-11-2019,9.79,9.65,20127900
27-11-2019,9.79,9.65,8987600
29-11-2019,9.84,9.73,4669500
02-12-2019,9.73,9.65,9664000
03-12-2019,9.74,9.65,4134300
04-12-2019,9.91,9.78,8169800
05-12-2019,9.94,9.85,6628000
06-12-2019,9.98,9.93,3731800
09-12-2019,10.06,9.93,6421400
10-12-2019,10.06,9.92,12796700
11-12-2019,10.1,10.02,14914900
12-12-2019,10.04,9.9,9539700
13-12-2019,10.14,10.04,8067400
16-12-2019,10.14,10.07,7558000
17-12-2019,10.32,10.18,15342000
18-12-2019,10.37,10.29,10213900
19-12-2019,10.3,10.16,7302800
20-12-2019,10.33,10.24,6327100
23-12-2019,10.31,10.24,3500900
24-12-2019,10.28,10.21,1730800
26-12-2019,10.28,10.16,5815700
27-12-2019,10.34,10.24,8082900
30-12-2019,10.27,10.12,6427000
31-12-2019,10.32,10.16,5474500
02-01-2020,10.34,10.23,5688000
03-01-2020,10.35,10.26,6992200
06-01-2020,10.25,10.17,10068900
07-01-2020,10.17,10.1,10589100
08-01-2020,10.12,9.99,13440400
09-01-2020,10.51,10.15,28436900
10-01-2020,11.15,10.62,30794600
13-01-2020,10.98,10.8,13659600
14-01-2020,10.9,10.77,15188300
15-01-2020,10.93,10.73,11884300
16-01-2020,10.94,10.81,8511200
17-01-2020,10.92,10.72,6604300
21-01-2020,10.91,10.77,15790000
22-01-2020,11.07,10.92,22364600
23-01-2020,11.12,10.88,27833700
24-01-2020,11.12,10.94,21191300
27-01-2020,11.01,10.83,13542100
28-01-2020,11.14,10.95,15422800
29-01-2020,11.27,11.04,19730500
30-01-2020,11.08,10.97,10487100
31-01-2020,11,10.9,24260300
03-02-2020,10.95,10.78,11681900
04-02-2020,11.16,11.05,7493066
